"","Rank","Year","Title","Artist","Lyrics"
"4807",7,"2020","Don't Start Now","Dua Lipa","If you don't wanna see me

Did a full 180, crazyThinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up
Don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

Don't show up
Don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up (don't show up)
Don't come out (don't come out)
Don't start caring about me now ('bout me now)
Walk away (walk away)
You know how (you know how)
Don't start caring about me now (so)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (so)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh"
"4808",8,"2020","The Box","Roddy Ricch","Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the boxI just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo-deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?

I was out back, where the stash at?
Cruise the city in a bulletproof Cadillac (skrrt)
'Cause I know these niggas after where the bag at (yeah)
Gotta move smarter, gotta move harder
Niggas try to get me for my water
I'll lay his ass down on my son, or my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'

I done out my whole arm in the rim, Vince Carter (yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me

Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked that nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?

Ha-ha-ha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (yeah)
Took her to the forrest, put wood in her mouth
Bitch don't wear no shoes in my house
The private I'm flyin' in, I never wanna fly again
I'll take my chances in traffic (yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing-strip

I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangsta', so that's why she pick a Crip
Shawty call me Crisco, 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street-wealthy, yeah

Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?"
"4809",9,"2020","Intentions","Justin Bieber Featuring Quavo",""
"4810",10,"2020","Life Is Good","Future Featuring Drake",""
"4811",11,"2020","Circles","Post Malone",NA
"4812",12,"2020","Adore You","Harry Styles",NA
"4813",13,"2020","The Bones","Maren Morris",NA
"4814",14,"2020","Roses","SAINt JHN",NA
"4815",15,"2020","Stuck With U","Ariana Grande & Justin Bieber",NA
"4816",16,"2020","Blueberry Faygo","Lil Mosey",NA
"4817",17,"2020","The Scotts","THE SCOTTS, Travis Scott & Kid Cudi",NA
"4818",18,"2020","Chasin' You","Morgan Wallen",NA
"4819",19,"2020","I Hope","Gabby Barrett Featuring Charlie Puth",NA
"4820",20,"2020","Does To Me","Luke Combs Featuring Eric Church",NA
"4821",21,"2020","Falling","Trevor Daniel",NA
"4822",22,"2020","Gooba","6ix9ine",NA
"4823",23,"2020","High Fashion","Roddy Ricch Featuring Mustard",NA
"4824",24,"2020","Sunday Best","Surfaces",NA
"4825",25,"2020","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",NA
"4826",26,"2020","Death Bed","Powfu Featuring beabadoobee",NA
"4827",27,"2020","Party Girl","StaySolidRocky",NA
"4828",28,"2020","Nobody But You","Blake Shelton Duet With Gwen Stefani",NA
"4829",29,"2020","I Hope You're Happy Now","Carly Pearce & Lee Brice",NA
"4830",30,"2020","Before You Go","Lewis Capaldi",NA
"4831",31,"2020","My Oh My","Camila Cabello Featuring DaBaby",NA
"4832",32,"2020","In Your Eyes","The Weeknd",NA
"4833",33,"2020","After A Few","Travis Denning",NA
"4834",34,"2020","Break My Heart","Dua Lipa",NA
"4835",35,"2020","Everything I Wanted","Billie Eilish",NA
"4836",36,"2020","Memories","Maroon 5",NA
"4837",37,"2020","Hard To Forget","Sam Hunt",NA
"4838",38,"2020","Dollaz On My Head","Gunna Featuring Young Thug",NA
"4839",39,"2020","Be Kind","Marshmello & Halsey",NA
"4840",40,"2020","Beer Can't Fix","Thomas Rhett Featuring Jon Pardi",NA
"4841",41,"2020","Cooler Than A Bitch","Gunna Featuring Roddy Ricch",NA
"4842",42,"2020","RITMO (Bad Boys For Life)","Black Eyed Peas X J Balvin",NA
"4843",43,"2020","Hot Girl Bummer","blackbear",NA
"4844",44,"2020","Supalonely","BENEE Featuring Gus Dapperton",NA
"4845",45,"2020","Watermelon Sugar","Harry Styles",NA
"4846",46,"2020","Walk Em Down","NLE Choppa Featuring Roddy Ricch",NA
"4847",47,"2020","One Margarita","Luke Bryan",NA
"4848",48,"2020","Dance Monkey","Tones And I",NA
"4849",49,"2020","Flex","Polo G Featuring Juice WRLD",NA
"4850",50,"2020","Sum 2 Prove","Lil Baby",NA
"4851",51,"2020","Bluebird","Miranda Lambert",NA
"4852",52,"2020","Go Crazy","Chris Brown & Young Thug",NA
"4853",53,"2020","Heartless","Diplo Presents Thomas Wesley Featuring Morgan Wallen",NA
"4854",54,"2020","Emotionally Scarred","Lil Baby",NA
"4855",55,"2020","Top Floor","Gunna Featuring Travis Scott",NA
"4856",56,"2020","Dior","Pop Smoke",NA
"4857",57,"2020","Wunna","Gunna",NA
"4858",58,"2020","Chicago Freestyle","Drake Featuring Giveon",NA
"4859",59,"2020","Blindfold","Gunna Featuring Lil Baby",NA
"4860",60,"2020","We Paid","Lil Baby & 42 Dugg",NA
"4861",61,"2020","Level Of Concern","twenty one pilots",NA
"4862",62,"2020","Need It","Migos Featuring YoungBoy Never Broke Again",NA
"4863",63,"2020","After Party","Don Toliver",NA
"4864",64,"2020","I Love My Country","Florida Georgia Line",NA
"4865",65,"2020","SkyBox","Gunna",NA
"4866",66,"2020","X","Jonas Brothers Featuring Karol G",NA
"4867",67,"2020","Argentina","Gunna",NA
"4868",68,"2020","Yo Perreo Sola","Bad Bunny",NA
"4869",69,"2020","Here And Now","Kenny Chesney",NA
"4870",70,"2020","Met Gala","Gunna",NA
"4871",71,"2020","Out West","JACKBOYS Featuring Young Thug",NA
"4872",72,"2020","Righteous","Juice WRLD",NA
"4873",73,"2020","If The World Was Ending","JP Saxe Featuring Julia Michaels",NA
"4874",74,"2020","Believe It","PARTYNEXTDOOR & Rihanna",NA
"4875",75,"2020","Ride It.","Regard",NA
"4876",76,"2020","Daechwita","Agust D",NA
"4877",77,"2020","P*$$y Fairy (OTW)","Jhene Aiko",NA
"4878",78,"2020","Nasty Girl / On Camera","Gunna",NA
"4879",79,"2020","Daisies","Katy Perry",NA
"4880",80,"2020","God Whispered Your Name","Keith Urban",NA
"4881",81,"2020","In Between","Scotty McCreery",NA
"4882",82,"2020","Die From A Broken Heart","Maddie & Tae",NA
"4883",83,"2020","Solitaires","Future Featuring Travis Scott",NA
"4884",84,"2020","MOTW","Gunna",NA
"4885",85,"2020","Trillionaire","Future Featuring YoungBoy Never Broke Again",NA
"4886",86,"2020","Gimmick","Gunna",NA
"4887",87,"2020","Drinking Alone","Carrie Underwood",NA
"4888",88,"2020","Godzilla","Eminem Featuring Juice WRLD",NA
"4889",89,"2020","Be A Light","Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",NA
"4890",90,"2020","Turks","NAV, Gunna & Travis Scott",NA
"4891",91,"2020","Go Stupid","Polo G Featuring NLE Choppa & Stunna 4 Vegas",NA
"4892",92,"2020","Don't Rush","Young T & Bugsey Featuring Headie One",NA
"4893",93,"2020","Be Something","Polo G Featuring Lil Baby",NA
"4894",94,"2020","Martin & Gina","Polo G",NA
"4895",95,"2020","21","Polo G",NA
"4896",96,"2020","July","Noah Cyrus & Leon Bridges",NA
"4897",97,"2020","Grace","Lil Baby & 42 Dugg",NA
"4898",98,"2020","Feigning","Gunna",NA
"4899",99,"2020","All In","Lil Baby",NA
"4900",100,"2020","ily","Surf Mesa Featuring Emilee",NA
"4901",1,"2021","Butter","BTS","Smooth like butter, like a criminal undercover
Gon' pop like trouble breaking into your heart like that (ooh)
Cool shade, stunner, yeah, I owe it all to my motherHot like summer, yeah, I'm making you sweat like that (break it down)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

Side step, right-left, to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right-left, to my beat
Get it, let it roll

Smooth like butter, pull you in like no other
Don't need no Usher to remind me you got it bad
Ain't no other that can sweep you up like a robber
Straight up, I (got ya)
Making you fall like that (break it down)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

Side step, right-left, to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right-left, to my beat
Get it, let it roll

Get it, let it roll

Get it, let it roll

Ice on my wrist, I'm that nice guy
Got that right body and that right mind
Rolling up to party, got the right vibe
Smooth like (butter), hate us (love us)
Fresh, boy, pull up and we lay low
All the players get moving when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right-left, to my beat (right-left, to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (you know that talk is cheap)
Side step, right-left, to my beat
Get it, let it roll

Smooth like (butter), cool shade (stunner)
And you know we don't stop
Hot like (summer), ain't no (bummer)
You'll be like, ""Oh my God""
We gon' make you rock, and you say (yeah)
We gon' make you bounce, and you say (yeah)
Hotter? Sweeter! Cooler? Butter!
Get it, let it roll"
"4902",2,"2021","Good 4 U","Olivia Rodrigo","(Ah)

Well, good for you, I guess you moved on really easilyYou found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world? (Ah-ah-ah-ah)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand new girl

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (ah)
You bought a new car and your career's really takin' off (ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ha)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you?
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Ah-ah-ah-ah
Ah-ah-ah-ah

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily"
"4903",3,"2021","Deja Vu","Olivia Rodrigo","Car rides to Malibu
Strawberry ice cream, one spoon for two
And tradin' jacketsLaughin' 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Bein' annoying, singin' in harmony
I bet she's braggin' to all her friends, sayin' you're so unique, hm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Ah), hmm
Do you get déjà vu? Huh

Do you call her, almost say my name?
'Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type

I bet that she knows Billy Joel
'Cause you played her ""Uptown Girl""
You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (ooh)

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was the show we talked about
Played you the songs she's singing now when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (oh, oh)
That I was the one who taught you Billy Joel (oh)
A different girl now, but there's nothing new

I know you get déjà vu

I know you get déjà vu

I know you get déjà vu"
"4904",4,"2021","Levitating","Dua Lipa Featuring DaBaby","Billboard Baby, Dua Lipa make 'em dance when it come on
Everybody lookin' for a dance floor to run on
If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yеah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, comе on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I'm one of the greatest, ain't no debatin' on it (let's go)
I'm still levitating, I'm heavily medicated
Ironic I gave 'em love, and they end up hatin' on me (go)
She told me love me, and she been waitin'
Been fightin' hard for your love, and I'm runnin' thin on my patience
Needin' someone to hug, even took it back to the basics

You see what you got me out here doin'? (Yeah)
Might've threw me off, but can't nobody stop the movement (uh-uh)
Let's go, left foot, right foot, levitatin' (c'mon)
Pop stars (go), Dua Lipa with DaBaby
I had to lace my shoes for all the blessings I was chasin' (go)
If I ever slip, I fall into a better situation

So catch up, go put some cheese on it
Get out and get your bread up (yeah, yeah)
They always leaving you far, but you run together (hey)
Weight of the world on my shoulders, I kept my head up
Now baby stand up, 'cause girl you

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (woo)

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you, moonlight, you're my starlight
I need you all night (all night), come on, dance with me (let's go)
I'm levitating (woo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (take you for a ride)
I'm levitating (woo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (let me take you for a ride)

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating"
"4905",5,"2021","Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)","Said baby, said baby, said baby

What you doing? (What you doing?)Where you at? (Where you at?)
Oh, you got plans? (You got plans?)
Don't say that (shut your trap)
I'm sipping wine (sip, sip) in a robe (drip, drip)
I look too good (look too good) to be alone (woo-woo)
My house clean (house clean), my pool warm (pool warm)
Just shaved (smooth like a newborn)
We should be dancing, romancing
In the east wing and the west wing
Of this mansion, what's happening?

I ain't playing no games
Every word that I say is coming straight from the heart
So if you tryna lay in these arms

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open hoping)
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through)

Ooh, you're so sweet (so sweet), so tight (so tight)
I won't bite (ah-ah), unless you like (unless you like)
If you smoke (what you smoke?) I got the haze (Purple Haze)
And if you're hungry, girl, I got filets (woo-woo)
Ooh, baby, don't keep me (waiting)
There's so much love we could be making (shamone)
I'm talking kissing, cuddling
Rose petals in the bathtub
Girl, let's jump in, it's bubbling

I ain't playing no games
Every word that I say is coming straight from the heart
So (if you) if you (tryna) tryna lay in these arms

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open hoping)
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through) Come on, girl

La-la-la, la-la-la-la (I need you, baby)
La-la-la, la-la-la-la (I gotta see you, baby)
La-la-la, la-la-la-la (girl, I'm tryna give you this)
Ah-ah-ah-ah, ah-ah

Hey-hey, I'ma leave my door open, baby (I'ma leave the door open)
I'ma leave, I'ma leave my door open, girl
(I'ma leave the door open, hoping) And I'm hoping, hoping
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through) Woo!
La-la-la, la-la-la-la (tell me)
(Tell me that you're coming through)

Woo-woo-woo-woo, woo-woo-woo, woo-woo-woo
Woo-woo-woo-woo, woo-woo-woo, woo-woo
La-la-la, la-la-la-la (la-la-la, la-la)
(Tell me that you're coming through)
Girl, I'm here just waiting for you (oh!)
Come on over, I'll adore you (I gotta know!)
La-la-la, la-la-la-la (I'm waiting, waiting, waiting)
(Tell me that you're coming through) For you
Girl, I'm here just waiting for you
Come on over, I'll adore you
La-la-la, la-la-la-la (la-la, la-la)"
"4906",6,"2021","Peaches","Justin Bieber Featuring Daniel Caesar & Giveon","I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)I get my light right from the source, yeah (yeah, that's it)

And I see you (oh), the way I breathe you in (in)
It's the texture of your skin
I wanna wrap my arms around you, baby
Never let you go, oh
And I say, oh, there's nothing like your touch
It's the way you lift me up, yeah
And I'll be right here with you 'til the end

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)

You ain't sure yet, but I'm for ya
All I could want, all I can wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life

I left my girl, I'm in Mallorca
Hate to leave her, call it torture
Remember when I couldn't hold her
Left the baggage for Rimowa

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)

I get the feeling, so I'm sure (sure)
Hand in my hand because I'm yours
I can't, I can't pretend, I can't ignore you're right for me
Don't think you wanna know just where I've been, oh

Done bein' distracted
The one I need is right in my arms (oh)
Your kisses taste the sweetest with mine
And I'll be right here with you 'til end of time

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
(I get my light right from the source, yeah, yeah)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)"
"4907",7,"2021","Save Your Tears","The Weeknd & Ariana Grande","Yeah
I saw you dancing in a crowded room
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away
I'll make you cry when I run away

You could have asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care

I don't know why I run away
I'll make you cry when I run away

Take me back 'cause I wanna stay
Save your tears for another
Save your tears for another day
Save your tears for another day

So I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time

I don't know why I run away
Oh girl, I make you cry when I run away

Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better
Save your tears for another day (ooh, yeah)
Save your tears for another day (yeah)

I don't know why I run away
I'll make you cry when I run away

Save your tears for another day, ooh girl (ah)
I said save your tears for another day, yeah (ah)
Save your tears for another day (ah)
Save your tears for another day (ah)"
"4908",8,"2021","Kiss Me More","Doja Cat Featuring SZA","We hug and, yes, we make love
And always just say, ""Goodnight"" (la-la-la, la-la-la)
And we cuddle, sure, I do love itBut I need your lips on mine

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)

I, I feel like fucking something
But we can be corny, fuck it
Sugar, I ain't no dummy-dummy
I like to say, ""What if?""
But if we could kiss and just cut the rubbish
Then I might be on to something
I ain't giving you one in public
I'm giving you hundreds, fuck it

Something we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishing that the pussy was a kissing booth
Taste breakfast, lunch, and gin, and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip-gloss, hickeys too, huh

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)

Say, give me a buck, need that gushy stuff
Push your limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fucking with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that

Caught creeping with your friend
You ain't even half, man, lying on your-, you know that
Got me a bag for the break, you know that
Control, don't slow the pace if I pull back
All this ass for real (ah)
I'ma make you feel (ah)
Fantasy and whip appeal is all I can give you

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh
Oh, darling

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it"
"4909",9,"2021","Traitor","Olivia Rodrigo","Ooh, ooh, ooh, ah
Ah, ah, ah, ah
Brown guilty eyes and little white lies, yeah
I played dumb but I always knew
That you talked to her, maybe did even worse
I kept quiet so I could keep you

And ain't it funny how you ran to her
The second that we called it quits?
And ain't it funny how you said you were friends?
Now it sure as hell don't look like it

You betrayed me
And I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
Loved you at your worst, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat, but you're still a traitor

Now you bring her around just to shut me down
Show her off like she's a new trophy
And I know if you were true, there's no damn way that you
Could fall in love with somebody that quickly

Ain't it funny? All the twisted games
All the questions you used to avoid
Ain't it funny? Remember I brought her up
And you told me I was paranoid?

You betrayed me
And I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
Loved you at your worst, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat, but you're still a traitor

(Ah-ah-ah) God, I wish that you had thought this through
Before I went and fell in love with you
(Ah-ah-ah) When she's sleepin' in the bed we made
Don't you dare forget about the way

You betrayed me
'Cause I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
You gave me your word, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat
But you're still, you're still a traitor (ah-ah-ah)
Yeah, you're still a traitor

(Ooh-ooh-ooh) God, I wish that you had thought this through
Before I went and fell in love with you"
"4910",10,"2021","Astronaut In The Ocean","Masked Wolf","Astro-naut

What you know about rollin' down in the deep?When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean

She say that I'm cool (damn straight)
I'm like, ""Yeah, that's true"" (that's true)
I believe in G-O-D (ayy)
Don't believe in T-H-O-T
She keep playing me dumb (play me)
I'ma play her for fun (uh-huh)
Y'all don't really know my mental
Lemme give you the picture like stencil

Falling out, in a drought
No flow, rain wasn't pouring down (pouring down)
See, that pain was all around
See, my mode was kinda lounged
Didn't know which-which way to turn
Flow was cool but I still felt burnt
Energy up, you can feel my surge
I'ma kill everything like this purge (ayy)

Let's just get this straight for a second, I'ma work
Even if I don't get paid for progression, I'ma get it (get it)
Everything that I do is electric
I'ma keep it in a motion
Keep it moving like kinetic, ayy (yeah, yeah, yeah, yeah)

Put this shit in a frame, better know I don't blame
Everything that I say, man I seen you deflate
Let me elevate, this ain't a prank
Have you walkin' on a plank, li-li-li-li-like
Both hands together, God, let me pray (now let me pray)
Uh, I've been going right, right around, call that relay (Masked Wolf)

Pass the baton, back and I'm on
Swimming in the pool, Kendrick Lamar, uh
Want a piece of this, a piece of mine, my peace a sign
Can you please read between the lines?
My rhyme's inclined to break your spine
They say that I'm so fine
You could never match my grind
Please do not, not waste my time

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean, ayy

What you know about rollin' down in the deep?
When your brain goes numb, you can call that mental freeze
When these people talk too much, put that shit in slow motion, yeah
I feel like an astronaut in the ocean"
